ŽžŠÔ,‰ñ“]‚P,‰ñ“]‚Q,‰ñ“]‚R
2022-01-07 09:43:55.009483,0.0,0.0,0.0
2022-01-07 09:43:55.524496,0.0,0.0,0.0
2022-01-07 09:43:56.013749,0.0,0.0,0.0
2022-01-07 09:43:56.510019,0.0,0.0,0.0
2022-01-07 09:43:57.017193,0.0,0.0,0.0
2022-01-07 09:43:57.516172,0.0,0.0,0.0
2022-01-07 09:43:58.006874,0.0,0.0,0.0
2022-01-07 09:43:58.528529,0.0,0.0,0.0
2022-01-07 09:43:59.014480,0.0,0.0,0.0
2022-01-07 09:43:59.515549,0.0,0.0,0.0
2022-01-07 09:44:00.501681,0.0,0.0,0.0
2022-01-07 09:44:01.002152,0.0,0.0,0.0
2022-01-07 09:44:01.503957,0.0,0.0,0.0
2022-01-07 09:44:02.006242,0.0,0.0,0.0
2022-01-07 09:44:02.507991,0.0,0.0,0.0
2022-01-07 09:44:03.004619,0.0,0.0,0.0
2022-01-07 09:44:03.516086,0.0,0.0,0.0
2022-01-07 09:44:04.022410,0.0,0.0,0.0
2022-01-07 09:44:04.515010,0.0,0.0,0.0
2022-01-07 09:44:05.015904,0.0,0.0,0.0
2022-01-07 09:44:05.516548,0.0,0.0,0.0
2022-01-07 09:44:06.013792,0.0,0.0,0.0
2022-01-07 09:44:06.515288,0.0,0.0,0.0
2022-01-07 09:44:07.024673,0.0,0.0,0.0
2022-01-07 09:44:07.507736,0.0,0.0,0.0
2022-01-07 09:44:08.013788,0.0,0.0,0.0
2022-01-07 09:44:25.507423,0.0,0.0,0.0
2022-01-07 09:44:26.510196,0.0,0.0,0.0
2022-01-07 09:44:27.513377,0.0,0.0,0.0
2022-01-07 09:44:28.509096,0.0,0.0,0.0
2022-01-07 09:44:29.522677,0.0,0.0,0.0
2022-01-07 09:44:30.510211,0.0,0.0,0.0
2022-01-07 09:44:31.511538,0.0,0.0,0.0
2022-01-07 09:44:32.516321,0.0,0.0,0.0
2022-01-07 09:45:10.862928,0.0,0.0,0.0
2022-01-07 09:46:22.504608,0.0,0.0,0.0
2022-01-07 09:46:23.512659,0.0,0.0,0.0
2022-01-07 09:46:24.513178,0.0,0.0,0.0
2022-01-07 09:46:25.504533,0.0,0.0,0.0
2022-01-07 09:46:26.521780,0.0,0.0,0.0
2022-01-07 09:46:27.502141,0.0,0.0,0.0
2022-01-07 09:46:28.505323,0.0,0.0,0.0
2022-01-07 09:46:29.509879,0.0,0.0,0.0
2022-01-07 09:46:30.513367,0.0,0.0,0.0
2022-01-07 09:46:31.516444,0.0,0.0,0.0
2022-01-07 09:46:32.504461,0.0,0.0,0.0
2022-01-07 09:46:33.505269,0.0,0.0,0.0
2022-01-07 09:46:34.500422,0.0,0.0,0.0
2022-01-07 09:46:35.503597,0.0,0.0,0.0
2022-01-07 09:46:36.502548,0.0,0.0,0.0
2022-01-07 09:46:37.523647,0.0,0.0,0.0
2022-01-07 09:46:38.509253,0.0,0.0,0.0
2022-01-07 09:48:09.512349,0.0,0.0,0.0
2022-01-07 09:48:10.509010,0.0,0.0,0.0
2022-01-07 09:48:11.510375,0.0,0.0,0.0
2022-01-07 09:48:12.508659,0.0,0.0,0.0
2022-01-07 09:48:13.511391,0.0,0.0,0.0
2022-01-07 09:48:14.510917,0.0,0.0,0.0
2022-01-07 09:48:15.518970,0.0,0.0,0.0
2022-01-07 09:48:20.512169,0.0,0.0,0.0
2022-01-07 09:48:21.507272,0.0,0.0,0.0
2022-01-07 09:48:22.519122,0.0,0.0,0.0
2022-01-07 09:48:23.517193,0.0,0.0,0.0
2022-01-07 09:48:24.516181,0.0,0.0,0.0
2022-01-07 09:48:25.507193,0.0,0.0,0.0
2022-01-07 09:48:26.520458,0.0,0.0,0.0
2022-01-07 09:48:43.503818,0.0,0.0,0.0
2022-01-07 09:48:44.017245,0.0,0.0,0.0
2022-01-07 09:48:44.512539,0.0,0.0,0.0
2022-01-07 09:48:45.010903,0.0,0.0,0.0
2022-01-07 09:48:45.513503,0.0,0.0,0.0
2022-01-07 09:48:46.014034,0.0,0.0,0.0
2022-01-07 09:48:46.514477,0.0,0.0,0.0
2022-01-07 09:48:47.011625,0.0,0.0,0.0
2022-01-07 09:48:47.515511,0.0,0.0,0.0
2022-01-07 09:48:48.010606,0.0,0.0,0.0
2022-01-07 09:48:48.513587,0.0,0.0,0.0
2022-01-07 09:48:49.017435,0.0,0.0,0.0
2022-01-07 09:48:49.511131,0.0,0.0,0.0
2022-01-07 09:48:50.016678,0.0,0.0,0.0
2022-01-07 09:48:50.518442,0.0,0.0,0.0
2022-01-07 09:48:51.019142,0.0,0.0,0.0
2022-01-07 09:48:51.520518,0.0,0.0,0.0
2022-01-07 09:48:52.007823,0.0,0.0,0.0
2022-01-07 09:48:52.520523,0.0,0.0,0.0
2022-01-07 09:48:53.015193,0.0,0.0,0.0
2022-01-07 09:48:53.511189,0.0,0.0,0.0
2022-01-07 09:48:54.006274,0.0,0.0,0.0
