ŽžŠÔ,‰ñ“]‚P,‰ñ“]‚Q,‰ñ“]‚R
2022-01-07 17:16:25.516022,84.26632,84.28675,86.19916
2022-01-07 17:16:26.008356,84.00888,84.3895,86.98426
2022-01-07 17:16:26.501472,84.11161,84.4935,86.98426
2022-01-07 17:16:27.015912,84.11161,84.54425,84.86364
2022-01-07 17:16:27.516184,84.1636,84.4935,84.86364
2022-01-07 17:16:28.017981,83.80219,84.3895,85.4527
2022-01-07 17:16:28.520356,84.05963,84.699,85.4527
2022-01-07 17:16:29.014473,84.1636,84.4935,85.4527
2022-01-07 17:16:29.515333,83.80219,84.184,85.4527
2022-01-07 17:16:30.023985,84.73046,84.90575,85.33489
2022-01-07 17:16:30.520880,83.85417,84.3895,85.33489
2022-01-07 17:16:31.018322,84.21434,84.4935,86.15958
2022-01-07 17:16:31.513266,83.85417,84.4935,86.15958
2022-01-07 17:16:32.016618,83.9569,84.3895,85.68833
2022-01-07 17:16:32.516261,84.11161,84.4415,85.68833
2022-01-07 17:16:33.022031,84.31831,84.803,85.72791
2022-01-07 17:16:33.518681,83.7502,84.132,85.72791
2022-01-07 17:16:34.015115,84.05963,84.4935,85.7675
2022-01-07 17:16:34.512580,84.26632,84.64825,85.7675
2022-01-07 17:16:35.013946,84.05963,84.4935,85.49229
2022-01-07 17:16:35.508811,84.21434,84.699,85.49229
2022-01-07 17:16:36.004872,83.69946,84.33875,86.15958
2022-01-07 17:16:36.502765,84.11161,84.4935,86.15958
2022-01-07 17:16:37.045817,84.1636,84.4935,85.4527
2022-01-07 17:16:37.510936,83.9569,84.4415,85.4527
2022-01-07 17:16:38.007594,84.00888,84.3895,86.23875
2022-01-07 17:16:38.509862,83.90492,84.33875,86.23875
2022-01-07 17:16:39.002948,84.47302,85.0605,85.64968
2022-01-07 17:16:39.530882,83.7502,84.28675,85.64968
2022-01-07 17:16:40.018492,84.31831,84.59625,86.23875
2022-01-07 17:16:40.507692,83.9569,84.132,86.23875
2022-01-07 17:16:41.004012,84.31831,84.64825,85.4527
2022-01-07 17:16:41.527601,83.7502,84.28675,85.4527
2022-01-07 17:16:42.028349,84.00888,84.4935,86.08135
2022-01-07 17:16:42.519445,84.11161,84.54425,86.08135
2022-01-07 17:16:43.016719,83.90492,84.59625,85.6101
2022-01-07 17:16:43.517323,84.26632,84.751,85.6101
2022-01-07 17:16:44.011566,84.11161,84.33875,85.96354
2022-01-07 17:16:44.508797,84.05963,84.33875,85.96354
2022-01-07 17:16:45.009404,84.31831,84.85375,86.98426
2022-01-07 17:16:45.520183,83.9569,84.4415,86.98426
2022-01-07 17:16:46.012364,84.00888,84.4415,85.7675
2022-01-07 17:16:46.514255,84.00888,84.59625,85.7675
2022-01-07 17:16:47.020556,83.90492,84.4935,85.33489
2022-01-07 17:16:47.522772,84.31831,84.699,85.33489
2022-01-07 17:16:48.017656,83.90492,83.92525,85.53187
2022-01-07 17:16:48.515666,84.47302,84.64825,85.53187
2022-01-07 17:16:49.008923,84.00888,84.28675,85.41406
2022-01-07 17:16:49.512492,84.1636,84.90575,85.41406
2022-01-07 17:16:50.005296,83.7502,84.23475,85.4527
2022-01-07 17:16:50.516818,84.21434,84.751,85.4527
2022-01-07 17:16:51.016026,83.49276,84.08,85.96354
2022-01-07 17:16:51.508769,84.11161,84.4415,85.96354
2022-01-07 17:16:52.006602,84.57575,84.699,85.4527
2022-01-07 17:16:52.505343,83.64747,84.184,85.4527
2022-01-07 17:16:53.026361,84.36905,84.751,86.27739
2022-01-07 17:16:53.516793,83.7502,84.28675,86.27739
2022-01-07 17:16:54.008557,84.05963,84.4935,86.35656
