ŽžŠÔ,‰ñ“]‚P,‰ñ“]‚Q,‰ñ“]‚R
2022-01-07 16:18:54.231394,84.11161,84.59625,85.25666
2022-01-07 16:22:35.510230,83.9569,84.4935,85.4527
2022-01-07 16:22:36.016886,83.9569,84.33875,86.63083
2022-01-07 16:22:36.514590,84.11161,84.4935,86.63083
2022-01-07 16:22:37.010952,83.9569,84.4415,85.37447
2022-01-07 16:22:37.510497,84.26632,84.751,85.37447
2022-01-07 16:22:38.010012,83.80219,84.184,85.57051
2022-01-07 16:22:38.502179,84.21434,84.59625,85.57051
2022-01-07 16:22:39.028739,83.59549,84.23475,85.37447
2022-01-07 16:22:39.522533,84.1636,84.4935,85.37447
2022-01-07 16:22:40.022114,83.80219,84.23475,86.19916
2022-01-07 16:22:40.507227,84.1636,84.4415,86.19916
2022-01-07 16:22:41.045110,84.21434,84.751,85.06062
2022-01-07 16:22:41.517617,83.85417,84.4415,85.06062
2022-01-07 16:22:42.010451,84.05963,84.3895,86.35656
2022-01-07 16:22:42.507690,83.90492,84.33875,86.35656
2022-01-07 16:22:43.010526,84.36905,84.64825,84.98145
2022-01-07 16:22:43.508189,83.54475,84.4415,84.98145
2022-01-07 16:22:44.027601,83.64747,84.08,86.00312
2022-01-07 16:22:44.507572,84.05963,84.4415,86.00312
2022-01-07 16:22:45.041568,83.7502,84.33875,85.92395
2022-01-07 16:22:45.522098,83.9569,84.23475,85.92395
2022-01-07 16:22:46.045825,83.64747,84.23475,85.72791
2022-01-07 16:22:46.516720,83.64747,83.8745,85.72791
2022-01-07 16:22:47.020008,83.59549,84.132,88.51583
2022-01-07 16:22:47.518823,84.78245,84.95775,88.51583
2022-01-07 16:22:48.039802,82.97664,83.41025,237.54864
2022-01-07 16:22:48.513213,84.52377,84.90575,237.54864
2022-01-07 16:22:49.016256,83.39003,83.461,215.75333
2022-01-07 16:22:49.513509,84.1636,84.64825,215.75333
2022-01-07 16:22:50.006856,83.54475,83.66775,144.12333
2022-01-07 16:22:50.507130,84.05963,84.54425,144.12333
2022-01-07 16:22:51.006453,83.90492,84.184,91.81458
2022-01-07 16:22:51.510753,84.1636,84.23475,91.81458
2022-01-07 16:22:52.034722,83.44078,83.97725,92.32541
2022-01-07 16:22:52.513599,84.11161,84.59625,92.32541
2022-01-07 16:22:53.022288,84.1636,84.54425,90.40083
2022-01-07 16:22:53.515603,83.80219,84.184,90.40083
2022-01-07 16:22:54.024984,83.59549,84.28675,88.20197
2022-01-07 16:22:54.513507,83.7502,84.33875,88.20197
2022-01-07 16:22:55.021775,84.73046,85.0085,86.78822
2022-01-07 16:22:55.511944,83.80219,84.02925,86.78822
2022-01-07 16:22:56.019883,84.21434,84.4935,86.5526
