ŽžŠÔ,‰ñ“]‚P,‰ñ“]‚Q,‰ñ“]‚R
2021-11-10 16:47:47.504264,1,1,1
2021-11-10 16:47:48.024328,1,1,1
2021-11-10 16:47:48.510805,1,1,1
2021-11-10 16:47:49.014365,1,1,1
2021-11-10 16:47:49.521949,1,1,1
2021-11-10 16:47:50.012177,1,1,1
2021-11-10 16:47:50.511391,1,1,1
2021-11-10 16:47:51.034873,1,1,1
2021-11-10 16:47:51.510304,1,1,1
2021-11-10 16:47:52.008593,1,1,1
2021-11-10 16:47:52.534741,1,1,1
2021-11-10 16:47:53.005399,1,1,1
2021-11-10 16:47:53.536389,1,1,1
2021-11-10 16:47:54.014210,1,1,1
2021-11-10 16:47:54.515607,1,1,1
2021-11-10 16:47:55.017724,1,1,1
2021-11-10 16:47:55.512798,1,1,1
2021-11-10 16:47:56.002188,1,1,1
2021-11-10 16:47:56.514730,1,1,1
2021-11-10 16:47:57.025762,1,1,1
2021-11-10 16:47:57.505688,1,1,1
2021-11-10 16:47:58.002747,1,1,1
2021-11-10 16:47:58.503179,1,1,1
2021-11-10 16:47:59.036771,1,1,1
2021-11-10 16:47:59.508818,1,1,1
