ŽžŠÔ,‰ñ“]‚P,‰ñ“]‚Q,‰ñ“]‚R
2021-11-10 12:56:03.021188,0,0,0
2021-11-10 12:56:04.016205,0,0,0
2021-11-10 12:56:05.018659,0,0,0
2021-11-10 12:56:06.019317,0,0,0
2021-11-10 12:56:07.009381,0,0,0
2021-11-10 12:56:08.003701,0,0,0
2021-11-10 12:56:09.017959,0,0,0
2021-11-10 12:56:10.008408,0,0,0
2021-11-10 12:56:11.015097,0,0,0
2021-11-10 12:56:12.016498,0,0,0
2021-11-10 12:56:13.016040,0,0,0
2021-11-10 12:56:14.024392,0,0,0
2021-11-10 12:56:15.015962,0,0,0
2021-11-10 12:56:16.005385,0,0,0
2021-11-10 12:56:37.006272,0,0,0
2021-11-10 12:56:38.016658,0,0,0
2021-11-10 12:56:39.004532,0,0,0
2021-11-10 12:56:40.019824,0,0,0
2021-11-10 12:56:41.017510,0,0,0
2021-11-10 12:56:42.015471,0,0,0
2021-11-10 12:56:43.015734,0,0,0
2021-11-10 12:59:46.015744,0,0,0
2021-11-10 12:59:47.012125,0,0,0
2021-11-10 12:59:48.010723,0,0,0
2021-11-10 12:59:49.003008,0,0,0
2021-11-10 12:59:50.011697,0,0,0
2021-11-10 12:59:51.023944,0,0,0
2021-11-10 12:59:52.022442,0,0,0
2021-11-10 12:59:53.005623,0,0,0
2021-11-10 12:59:54.006763,0,0,0
2021-11-10 12:59:55.009207,0,0,0
