time,gaikei_value,naikei_value,okuri_velocity,hiki_velocity,H1PV,H2PV,H3PV,H4-1PV,H4-2PV,H4-3PV,H4-4PV,H5PV,H6PV,H7PV,H1MV,H2MV,H3MV,H4-1MV,H4-2MV,H4-3MV,H4-4MV,H5MV,H6MV,H7MV,roshinkann_PV1,roshinkann_PV2,roshinkann_PV3,roshinkann_PV4,roshinkann_PV5,roshinkann_PV6,roshinkann_PV7,roshinkann_PV8,roshinkann_PV9,roshinkann_PV10
2022-02-14 09:03:20,1.801,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-14 09:42:41,1.801,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-14 09:43:45,1.8,0.0,0.0,0.0,7429,7808,8271,8824,8988,8995,8876,8221,7553,7249,268,229,224,266,260,264,260,222,232,308,7441,7916,8413,8945,8927,8904,8917,8355,7862,7455
2022-02-14 09:45:55,1.801,0.0,0.0,0.0,743.0,780.8,827.1,882.4,898.8,899.5,887.6,822.1,755.3,724.9,26.7,22.9,22.4,26.7,26.0,26.4,26.0,22.2,23.2,30.9,744.1,791.6,841.2,894.5,892.6,890.4,891.7,835.5,786.2,745.4
