ŽžŠÔ,‰ñ“]‚P,‰ñ“]‚Q,‰ñ“]‚R
2021-12-15 12:08:57.027360,1,1,1
2021-12-15 12:08:57.521429,1,1,1
2021-12-15 12:08:58.042256,1,1,1
2021-12-15 12:08:58.510945,1,1,1
2021-12-15 12:08:59.011213,1,1,1
2021-12-15 12:08:59.535228,1,1,1
2021-12-15 12:09:00.508786,1,1,1
2021-12-15 12:09:01.008795,1,1,1
2021-12-15 12:09:01.507009,1,1,1
2021-12-15 12:09:02.016690,1,1,1
2021-12-15 12:09:02.522989,1,1,1
2021-12-15 12:09:03.015716,1,1,1
2021-12-15 12:09:03.519500,1,1,1
2021-12-15 12:09:04.015217,1,1,1
2021-12-15 12:09:04.513429,1,1,1
2021-12-15 12:09:05.018382,1,1,1
2021-12-15 12:09:05.518209,1,1,1
2021-12-15 12:09:06.016495,1,1,1
2021-12-15 12:09:06.515909,1,1,1
2021-12-15 12:09:07.015115,1,1,1
2021-12-15 12:09:07.514766,1,1,1
2021-12-15 12:09:08.014080,1,1,1
2021-12-15 12:09:08.513587,1,1,1
2021-12-15 12:09:09.013180,1,1,1
2021-12-15 12:09:09.512416,1,1,1
2021-12-15 12:09:10.001530,1,1,1
2021-12-15 12:09:10.500507,1,1,1
2021-12-15 12:09:11.030063,1,1,1
2021-12-15 12:09:11.515332,1,1,1
2021-12-15 12:09:12.000955,1,1,1
2021-12-15 12:09:12.519672,1,1,1
2021-12-15 12:09:13.002257,1,1,1
2021-12-15 12:09:13.518358,1,1,1
2021-12-15 12:09:14.004222,1,1,1
2021-12-15 12:09:14.522645,1,1,1
2021-12-15 12:09:15.006104,1,1,1
2021-12-15 12:09:15.521894,1,1,1
2021-12-15 12:09:16.007540,1,1,1
2021-12-15 12:09:16.526699,1,1,1
2021-12-15 12:09:17.007028,1,1,1
2021-12-15 12:09:17.545521,1,1,1
2021-12-15 12:09:18.012613,1,1,1
2021-12-15 12:09:18.506119,1,1,1
2021-12-15 12:12:16.891986,1,1,1
