éûä‘,é÷çsó ÇP,é÷çsó ÇQ,é÷çsó ÇR,ó¨ó ÇP,ó¨ó ÇQ,ó¨ó ÇR
2022-01-07 19:02:46.916622,172,231,266,17.34,0.0,0.0
2022-01-07 19:03:08.213827,171,231,265,17.3,0.0,0.0
2022-01-07 19:03:15.390100,170,232,267,17.3,0.0,0.0
2022-01-07 19:03:15.713381,172,232,263,17.3,0.0,0.0
2022-01-07 19:03:17.145734,173,232,264,17.33,0.0,0.0
2022-01-07 19:03:17.421834,175,232,266,17.2,0.0,0.0
2022-01-07 19:03:18.600335,175,232,267,17.27,0.0,0.0
2022-01-07 19:04:42.023110,170,698,266,17.27,0.0,0.0
2022-01-07 19:49:43.766474,174,237,266,25.49,0.0,0.0
