éûä‘,é÷çsó ÇP,é÷çsó ÇQ,é÷çsó ÇR,ó¨ó ÇP,ó¨ó ÇQ,ó¨ó ÇR
2022-01-07 15:08:07.658112,175,236,266,25.81,0.0,0.0
2022-01-07 15:26:07.321249,170,238,265,27.34,0.0,0.0
2022-01-07 15:26:07.321249,171,238,262,27.38,0.0,0.0
2022-01-07 15:26:07.321249,171,237,257,27.37,0.0,0.0
2022-01-07 15:26:07.321249,171,235,266,27.34,0.0,0.0
2022-01-07 15:26:07.321249,173,236,263,27.34,0.0,0.0
2022-01-07 15:26:07.321249,170,236,260,27.29,0.0,0.0
2022-01-07 15:26:07.321249,172,237,263,27.41,0.0,0.0
2022-01-07 15:26:07.321249,171,236,270,27.38,0.0,0.0
2022-01-07 15:26:07.321249,170,235,266,27.35,0.0,0.0
2022-01-07 15:26:07.321249,173,236,267,27.38,0.0,0.0
2022-01-07 15:26:07.321249,171,237,268,27.3,0.0,0.0
2022-01-07 15:26:07.321249,172,238,269,27.35,0.0,0.0
2022-01-07 15:26:07.321249,174,239,271,27.37,0.0,0.0
2022-01-07 15:26:07.321249,171,235,271,27.32,0.0,0.0
2022-01-07 15:26:07.321249,172,236,268,27.3,0.0,0.0
2022-01-07 15:26:07.321249,173,236,263,27.32,0.0,0.0
2022-01-07 15:26:07.321249,172,237,267,27.4,0.0,0.0
2022-01-07 15:26:07.321249,172,235,264,27.27,0.0,0.0
2022-01-07 15:26:07.321249,174,236,263,27.38,0.0,0.0
2022-01-07 15:26:07.321249,177,236,264,27.32,0.0,0.0
2022-01-07 15:26:07.321249,171,235,264,27.35,0.0,0.0
2022-01-07 15:26:07.321249,171,236,261,27.24,0.0,0.0
2022-01-07 15:26:07.321249,174,236,263,27.12,0.0,0.0
2022-01-07 15:26:07.321249,173,236,261,27.07,0.0,0.0
2022-01-07 15:26:07.321249,172,237,260,27.16,0.0,0.0
2022-01-07 15:26:07.321249,175,236,264,27.1,0.0,0.0
2022-01-07 15:26:07.321249,174,235,264,27.07,0.0,0.0
2022-01-07 15:26:07.321249,169,236,262,27.15,0.0,0.0
2022-01-07 15:26:07.321249,169,236,260,27.13,0.0,0.0
2022-01-07 15:26:07.321249,173,235,266,27.15,0.0,0.0
2022-01-07 15:26:07.321249,171,235,262,27.1,0.0,0.0
2022-01-07 15:26:07.321249,173,236,269,27.07,0.0,0.0
2022-01-07 15:26:07.321249,175,236,263,27.05,0.0,0.0
2022-01-07 15:26:07.321249,174,236,260,27.09,0.0,0.0
2022-01-07 15:26:07.321249,173,238,263,27.24,0.0,0.0
2022-01-07 15:26:07.321249,171,236,262,27.15,0.0,0.0
2022-01-07 15:26:07.321249,171,236,262,27.15,0.0,0.0
2022-01-07 15:26:07.321249,173,238,263,27.2,0.0,0.0
2022-01-07 15:26:07.321249,170,238,265,27.12,0.0,0.0
2022-01-07 15:26:07.321249,174,235,265,27.21,0.0,0.0
2022-01-07 15:26:07.321249,175,235,263,27.15,0.0,0.0
2022-01-07 15:26:07.321249,172,236,263,27.16,0.0,0.0
2022-01-07 15:26:07.321249,173,235,261,27.16,0.0,0.0
2022-01-07 15:36:06.030586,171,234,261,25.92,0.0,0.0
2022-01-07 15:36:07.039900,171,236,265,25.88,0.0,0.0
2022-01-07 15:36:08.028029,172,237,263,25.8,0.0,0.0
2022-01-07 15:36:09.037389,172,236,266,25.88,0.0,0.0
2022-01-07 15:36:10.007012,173,237,263,25.86,0.0,0.0
2022-01-07 15:36:11.006878,173,238,263,25.91,0.0,0.0
2022-01-07 15:36:51.014372,169,236,263,25.96,0.0,0.0
2022-01-07 15:36:52.011217,171,236,258,26.07,0.0,0.0
2022-01-07 15:36:53.036155,172,235,260,25.88,0.0,0.0
2022-01-07 15:36:54.007546,169,235,260,25.92,0.0,0.0
2022-01-07 15:36:55.017733,175,236,262,25.91,0.0,0.0
2022-01-07 15:36:56.010497,173,235,263,25.85,0.0,0.0
2022-01-07 15:36:57.019702,172,236,266,25.91,0.0,0.0
2022-01-07 15:36:58.013972,171,236,261,25.91,0.0,0.0
2022-01-07 15:36:59.029073,170,237,262,25.88,0.0,0.0
2022-01-07 15:37:01.014530,170,237,266,25.85,0.0,0.0
2022-01-07 15:37:02.007414,172,236,261,25.83,0.0,0.0
2022-01-07 15:37:03.012677,172,235,261,25.85,0.0,0.0
2022-01-07 15:37:04.008364,170,236,267,25.94,0.0,0.0
2022-01-07 15:37:05.007199,174,237,266,25.85,0.0,0.0
2022-01-07 15:37:06.028255,170,236,264,25.88,0.0,0.0
2022-01-07 15:37:07.013320,171,238,262,25.88,0.0,0.0
2022-01-07 15:37:08.028647,170,237,263,25.91,0.0,0.0
2022-01-07 15:37:09.026560,172,239,261,25.89,0.0,0.0
2022-01-07 15:37:10.018946,170,235,262,25.92,0.0,0.0
2022-01-07 15:37:11.015772,169,236,266,25.91,0.0,0.0
2022-01-07 15:37:12.007497,173,236,262,25.88,0.0,0.0
2022-01-07 15:37:13.010488,172,235,268,25.94,0.0,0.0
2022-01-07 15:37:14.014639,170,237,263,25.92,0.0,0.0
