éûä‘,é÷çsó ÇP,é÷çsó ÇQ,é÷çsó ÇR,ó¨ó ÇP,ó¨ó ÇQ,ó¨ó ÇR
2022-01-07 18:02:58.129169,170,228,263,35.49,0.0,0.0
2022-01-07 18:39:17.704252,173,226,263,35.46,0.0,0.0
2022-01-07 18:40:18.157876,170,228,265,35.38,0.0,0.0
2022-01-07 18:40:27.809954,175,227,263,35.52,0.0,0.0
2022-01-07 18:40:30.026763,171,226,263,35.52,0.0,0.0
2022-01-07 18:46:31.684119,173,233,260,35.65,0.0,0.0
2022-01-07 18:54:45.246585,171,237,261,35.56,0.0,0.0
2022-01-07 18:54:52.625865,173,232,261,35.54,0.0,0.0
2022-01-07 18:54:54.619713,172,233,265,35.48,0.0,0.0
2022-01-07 18:54:56.265364,170,233,266,35.57,0.0,0.0
2022-01-07 18:54:57.394365,173,235,266,35.43,0.0,0.0
2022-01-07 18:54:58.425042,174,228,260,35.52,0.0,0.0
2022-01-07 18:54:59.481215,169,232,264,35.48,0.0,0.0
2022-01-07 18:55:00.391909,172,234,262,35.4,0.0,0.0
2022-01-07 18:55:09.061584,172,232,260,35.46,0.0,0.0
2022-01-07 18:55:11.378414,170,234,261,35.65,0.0,0.0
2022-01-07 18:55:13.181413,172,232,263,35.43,0.0,0.0
2022-01-07 18:55:15.154659,170,232,261,35.49,0.0,0.0
2022-01-07 18:55:16.562425,172,232,265,35.57,0.0,0.0
2022-01-07 18:55:26.287659,170,233,262,35.59,0.0,0.0
