éûä‘,é÷çsó ÇP,é÷çsó ÇQ,é÷çsó ÇR,ó¨ó ÇP,ó¨ó ÇQ,ó¨ó ÇR
2022-01-07 16:26:24.016920,171,233,262,35.4,0.0,0.0
2022-01-07 16:26:25.012349,170,232,261,35.51,0.0,0.0
2022-01-07 16:26:26.040313,170,232,260,35.43,0.0,0.0
2022-01-07 16:26:27.018331,170,233,260,35.38,0.0,0.0
2022-01-07 16:26:28.009321,174,232,264,35.62,0.0,0.0
2022-01-07 16:26:29.015726,173,234,265,35.52,0.0,0.0
2022-01-07 16:26:30.010706,171,233,264,35.68,0.0,0.0
2022-01-07 16:26:31.015388,172,232,262,35.63,0.0,0.0
2022-01-07 16:26:32.021913,168,232,267,35.43,0.0,0.0
2022-01-07 16:26:33.008398,173,231,262,35.56,0.0,0.0
2022-01-07 16:26:34.010730,171,234,263,35.54,0.0,0.0
2022-01-07 16:26:35.022656,172,232,261,35.51,0.0,0.0
2022-01-07 16:26:36.013246,172,234,267,35.4,0.0,0.0
2022-01-07 16:26:37.006001,171,234,260,35.7,0.0,0.0
2022-01-07 16:26:38.013120,171,230,266,35.54,0.0,0.0
2022-01-07 16:26:39.013594,171,232,266,35.56,0.0,0.0
2022-01-07 16:26:40.010547,170,234,260,35.57,0.0,0.0
2022-01-07 16:26:41.008847,173,232,264,35.62,0.0,0.0
2022-01-07 16:26:42.015209,170,233,266,35.65,0.0,0.0
2022-01-07 16:26:43.005010,171,232,259,35.57,0.0,0.0
2022-01-07 16:26:44.030476,171,232,264,35.73,0.0,0.0
2022-01-07 16:26:45.022366,171,234,263,35.49,0.0,0.0
2022-01-07 16:26:46.026425,173,232,262,35.63,0.0,0.0
2022-01-07 16:26:47.030418,175,232,259,35.54,0.0,0.0
2022-01-07 16:26:48.014733,174,231,260,35.38,0.0,0.0
2022-01-07 16:26:49.016747,172,233,263,35.34,0.0,0.0
2022-01-07 16:26:50.020779,168,233,263,35.41,0.0,0.0
2022-01-07 16:26:51.021757,173,233,260,35.52,0.0,0.0
2022-01-07 16:26:52.011785,170,230,264,35.43,0.0,0.0
2022-01-07 16:26:53.013530,172,233,267,35.52,0.0,0.0
2022-01-07 16:26:54.007238,175,232,260,35.51,0.0,0.0
2022-01-07 16:26:55.016205,175,234,263,35.6,0.0,0.0
2022-01-07 16:26:56.016968,168,233,265,35.56,0.0,0.0
2022-01-07 16:26:57.010446,170,234,263,35.32,0.0,0.0
2022-01-07 16:26:58.008804,171,232,267,35.59,0.0,0.0
2022-01-07 16:26:59.008592,171,232,263,35.46,0.0,0.0
2022-01-07 16:27:00.027754,170,232,266,35.56,0.0,0.0
2022-01-07 16:27:01.030642,171,232,262,35.43,0.0,0.0
2022-01-07 16:27:02.021993,171,232,260,35.45,0.0,0.0
2022-01-07 16:27:03.016091,170,232,261,35.59,0.0,0.0
2022-01-07 16:32:42.012231,170,232,264,35.56,0.0,0.0
2022-01-07 16:32:43.003986,171,233,263,35.52,0.0,0.0
2022-01-07 16:32:44.016531,171,232,260,35.35,0.0,0.0
2022-01-07 16:32:45.020141,172,233,266,35.48,0.0,0.0
2022-01-07 16:32:46.013047,170,233,264,35.54,0.0,0.0
2022-01-07 16:32:47.022204,172,233,265,35.45,0.0,0.0
2022-01-07 16:32:48.015050,176,232,263,35.54,0.0,0.0
2022-01-07 16:32:49.006780,171,232,266,35.4,0.0,0.0
2022-01-07 16:32:50.020864,172,234,263,35.43,0.0,0.0
2022-01-07 16:32:51.007378,171,233,264,35.48,0.0,0.0
2022-01-07 16:32:52.008411,175,234,263,35.54,0.0,0.0
2022-01-07 16:32:53.002341,172,233,263,35.41,0.0,0.0
2022-01-07 16:32:54.021436,175,233,262,35.52,0.0,0.0
2022-01-07 16:32:55.026789,175,234,260,35.29,0.0,0.0
2022-01-07 16:32:56.015298,173,232,267,35.38,0.0,0.0
2022-01-07 16:32:57.012620,171,234,261,35.41,0.0,0.0
2022-01-07 16:32:58.010246,171,229,269,35.54,0.0,0.0
2022-01-07 16:32:59.008809,174,232,265,35.51,0.0,0.0
2022-01-07 16:33:00.017093,173,234,263,35.52,0.0,0.0
2022-01-07 16:33:01.026571,170,233,265,35.43,0.0,0.0
2022-01-07 16:33:02.014588,171,232,260,35.59,0.0,0.0
2022-01-07 16:36:29.010661,172,233,263,35.4,0.0,0.0
2022-01-07 16:36:30.022953,175,233,263,35.52,0.0,0.0
2022-01-07 16:36:31.023258,173,233,266,35.63,0.0,0.0
2022-01-07 16:36:32.011750,173,234,266,35.51,0.0,0.0
2022-01-07 16:36:33.008511,175,236,260,35.59,0.0,0.0
2022-01-07 16:36:34.007166,174,232,260,35.52,0.0,0.0
2022-01-07 16:36:35.021058,171,234,264,35.49,0.0,0.0
2022-01-07 16:36:36.011782,171,233,261,35.52,0.0,0.0
2022-01-07 16:36:37.029871,172,233,263,35.52,0.0,0.0
2022-01-07 16:36:38.011026,175,229,267,35.45,0.0,0.0
