éûä‘,é÷çsó ÇP,é÷çsó ÇQ,é÷çsó ÇR,ó¨ó ÇP,ó¨ó ÇQ,ó¨ó ÇR
2022-01-07 17:16:26.008356,173,228,266,35.45,0.0,0.0
2022-01-07 17:16:27.015912,171,230,261,35.54,0.0,0.0
2022-01-07 17:16:28.017981,169,229,265,35.51,0.0,0.0
2022-01-07 17:16:29.014473,172,233,266,35.48,0.0,0.0
2022-01-07 17:16:30.023985,169,234,263,35.38,0.0,0.0
2022-01-07 17:16:31.018322,169,232,265,35.38,0.0,0.0
2022-01-07 17:16:32.016618,175,233,262,35.46,0.0,0.0
2022-01-07 17:16:33.022031,175,234,261,35.43,0.0,0.0
2022-01-07 17:16:34.015115,171,232,264,35.34,0.0,0.0
2022-01-07 17:16:35.013946,174,235,261,35.51,0.0,0.0
2022-01-07 17:16:36.004872,169,232,261,35.56,0.0,0.0
2022-01-07 17:16:37.045817,169,233,260,35.43,0.0,0.0
2022-01-07 17:16:38.007594,170,232,262,35.43,0.0,0.0
2022-01-07 17:16:39.002948,173,232,262,35.52,0.0,0.0
2022-01-07 17:16:40.018492,175,232,265,35.46,0.0,0.0
2022-01-07 17:16:41.004012,171,232,264,35.37,0.0,0.0
2022-01-07 17:16:42.028349,172,228,262,35.56,0.0,0.0
2022-01-07 17:16:43.016719,170,232,264,35.48,0.0,0.0
2022-01-07 17:16:44.011566,172,236,263,35.32,0.0,0.0
2022-01-07 17:16:45.009404,171,232,260,35.45,0.0,0.0
2022-01-07 17:16:46.012364,170,232,261,35.29,0.0,0.0
2022-01-07 17:16:47.020556,170,235,261,35.56,0.0,0.0
2022-01-07 17:16:48.017656,172,234,263,35.38,0.0,0.0
2022-01-07 17:16:49.008923,171,232,262,35.54,0.0,0.0
2022-01-07 17:16:50.005296,174,232,261,35.34,0.0,0.0
2022-01-07 17:16:51.016026,171,230,261,35.54,0.0,0.0
2022-01-07 17:16:52.006602,173,233,260,35.63,0.0,0.0
2022-01-07 17:16:53.026361,175,230,263,35.4,0.0,0.0
2022-01-07 17:16:54.008557,173,229,260,35.54,0.0,0.0
2022-01-07 17:16:55.008373,170,232,258,35.49,0.0,0.0
2022-01-07 17:16:56.048974,173,230,263,35.49,0.0,0.0
2022-01-07 17:16:57.009110,173,230,263,35.48,0.0,0.0
2022-01-07 17:16:58.043378,170,236,266,35.52,0.0,0.0
2022-01-07 17:16:59.002333,171,234,262,35.52,0.0,0.0
2022-01-07 17:17:00.020058,170,233,263,35.32,0.0,0.0
2022-01-07 17:17:01.012925,173,236,261,35.32,0.0,0.0
2022-01-07 17:17:02.012123,171,232,263,35.38,0.0,0.0
2022-01-07 17:17:03.011281,173,234,265,35.3,0.0,0.0
2022-01-07 17:17:04.004909,170,235,263,35.46,0.0,0.0
2022-01-07 17:17:05.026265,170,237,261,35.43,0.0,0.0
2022-01-07 17:17:06.011653,171,237,263,35.32,0.0,0.0
2022-01-07 17:17:07.008934,174,234,266,35.41,0.0,0.0
2022-01-07 17:17:08.020847,171,232,263,35.49,0.0,0.0
2022-01-07 17:17:09.008504,169,231,262,35.46,0.0,0.0
2022-01-07 17:17:10.003998,171,232,260,35.43,0.0,0.0
2022-01-07 17:17:11.016217,170,230,265,35.38,0.0,0.0
2022-01-07 17:17:12.026006,170,231,261,35.35,0.0,0.0
2022-01-07 17:17:13.006078,173,233,262,35.48,0.0,0.0
2022-01-07 17:17:14.028910,173,234,263,35.23,0.0,0.0
2022-01-07 17:17:15.014281,169,234,263,35.38,0.0,0.0
2022-01-07 17:17:16.011468,170,238,264,35.51,0.0,0.0
2022-01-07 17:17:17.005738,171,232,262,35.57,0.0,0.0
2022-01-07 17:17:18.013008,172,233,262,35.34,0.0,0.0
2022-01-07 17:17:19.025066,174,232,263,35.56,0.0,0.0
2022-01-07 17:17:20.008616,172,236,261,35.29,0.0,0.0
2022-01-07 17:17:21.016351,175,232,266,35.54,0.0,0.0
2022-01-07 17:17:22.002847,173,232,269,35.54,0.0,0.0
2022-01-07 17:17:23.013920,171,229,260,35.35,0.0,0.0
2022-01-07 17:17:24.015156,171,235,262,35.41,0.0,0.0
2022-01-07 17:17:25.010092,169,233,263,35.56,0.0,0.0
2022-01-07 17:17:26.008188,174,233,261,35.54,0.0,0.0
2022-01-07 17:17:27.015283,171,234,266,35.45,0.0,0.0
2022-01-07 17:17:28.013067,170,232,261,35.38,0.0,0.0
2022-01-07 17:17:29.009212,174,232,264,35.41,0.0,0.0
