"id","time","gaikei_value","naikei_value","okuri_velocity","hiki_velocity","H1PV","H2PV","H3PV","H4-1PV","H4-2PV","H4-3PV","H4-4PV","H5PV","H6PV","H7PV","H1MV","H2MV","H3MV","H4-1MV","H4-2MV","H4-3MV","H4-4MV","H5MV","H6MV","H7MV","roshinkann_PV1","roshinkann_PV2","roshinkann_PV3","roshinkann_PV4","roshinkann_PV5","roshinkann_PV6","roshinkann_PV7","roshinkann_PV8","roshinkann_PV9","roshinkann_PV10"
17,"2022-02-14 10:08:50",1.801,0.0,0.0,0.0,743.1,780.9,827.3,882.4,898.9,899.5,887.6,822.1,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.2,791.5,841.3,894.6,892.6,890.4,891.7,835.5,786.2,745.5
18,"2022-02-14 10:08:51",1.8,0.0,0.0,0.0,743.1,780.9,827.3,882.4,898.9,899.5,887.6,822.1,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.2,791.6,841.3,894.6,892.6,890.4,891.7,835.5,786.2,745.5
19,"2022-02-14 10:08:52",1.801,0.0,0.0,0.0,743.0,780.9,827.2,882.4,898.9,899.5,887.6,822.1,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.2,791.6,841.3,894.6,892.6,890.4,891.7,835.5,786.2,745.4
20,"2022-02-14 10:08:53",1.801,0.0,0.0,0.0,743.0,780.9,827.2,882.4,898.9,899.5,887.6,822.1,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.2,791.6,841.3,894.6,892.6,890.4,891.7,835.5,786.2,745.4
21,"2022-02-14 10:08:54",1.801,0.0,0.0,0.0,743.0,780.9,827.2,882.4,898.9,899.5,887.6,822.1,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.2,791.6,841.3,894.5,892.6,890.4,891.7,835.5,786.2,745.5
22,"2022-02-14 10:08:55",1.801,0.0,0.0,0.0,743.0,780.9,827.2,882.4,898.9,899.5,887.6,822.1,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.2,791.6,841.3,894.5,892.6,890.4,891.7,835.5,786.2,745.5
23,"2022-02-14 10:08:56",1.801,0.0,0.0,0.0,743.0,780.9,827.2,882.4,898.9,899.5,887.6,822.1,755.3,725.0,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.2,791.6,841.3,894.5,892.6,890.4,891.7,835.5,786.2,745.5
24,"2022-02-14 10:08:57",1.801,0.0,0.0,0.0,743.0,780.9,827.2,882.4,898.9,899.5,887.6,822.1,755.3,725.1,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.2,791.6,841.2,894.5,892.5,890.4,891.7,835.5,786.2,745.5
25,"2022-02-14 10:08:58",1.801,0.0,0.0,0.0,743.0,780.9,827.1,882.4,898.8,899.5,887.6,822.1,755.4,725.1,26.8,23.0,22.4,26.7,26.0,26.4,26.0,22.4,23.4,31.4,744.1,791.6,841.2,894.4,892.5,890.4,891.7,835.5,786.2,745.5
26,"2022-02-14 10:08:59",1.801,0.0,0.0,0.0,742.9,780.9,827.1,882.5,898.8,899.5,887.6,822.1,755.4,725.1,26.8,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.4,744.1,791.6,841.2,894.4,892.5,890.4,891.7,835.6,786.2,745.5
