éûä‘,é÷çsó ÇP,é÷çsó ÇQ,é÷çsó ÇR,ó¨ó ÇP
2021-12-15 12:08:57.027360,1,1,1,1
2021-12-15 12:08:58.042256,1,1,1,1
2021-12-15 12:08:59.011213,1,1,1,1
2021-12-15 12:09:01.008795,1,1,1,1
2021-12-15 12:09:02.016690,1,1,1,1
2021-12-15 12:09:03.015716,1,1,1,1
2021-12-15 12:09:04.015217,1,1,1,1
2021-12-15 12:09:05.018382,1,1,1,1
2021-12-15 12:09:06.016495,1,1,1,1
2021-12-15 12:09:07.015115,1,1,1,1
2021-12-15 12:09:08.014080,1,1,1,1
2021-12-15 12:09:09.013180,1,1,1,1
2021-12-15 12:09:10.001530,1,1,1,1
2021-12-15 12:09:11.030063,1,1,1,1
2021-12-15 12:09:12.000955,1,1,1,1
2021-12-15 12:09:13.002257,1,1,1,1
2021-12-15 12:09:14.004222,1,1,1,1
2021-12-15 12:09:15.006104,1,1,1,1
2021-12-15 12:09:16.007540,1,1,1,1
2021-12-15 12:09:17.007028,1,1,1,1
2021-12-15 12:09:18.012613,1,1,1,1
